column_000,column_001,column_002,column_003,column_004,column_005,column_006,column_007,column_008,column_009,column_010,column_011,column_012,column_013,column_014,column_015,column_016,column_017,column_018,column_019
0,"quoted, row 0
second line",,value-0-3,value-0-4,5,value-0-6,value-0-7,value-0-8,value-0-9,10,value-0-11,value-0-12,value-0-13,value-0-14,15,value-0-16,value-0-17,value-0-18,value-0-19
10000019,value-1-1,value-1-2,value-1-3,value-1-4,10000024,value-1-6,value-1-7,value-1-8,value-1-9,10000029,value-1-11,value-1-12,value-1-13,value-1-14,10000034,value-1-16,value-1-17,value-1-18,value-1-19
20000038,value-2-1,value-2-2,value-2-3,value-2-4,20000043,value-2-6,value-2-7,value-2-8,value-2-9,20000048,value-2-11,value-2-12,value-2-13,value-2-14,20000053,value-2-16,value-2-17,value-2-18,value-2-19
30000057,value-3-1,value-3-2,value-3-3,value-3-4,30000062,value-3-6,value-3-7,value-3-8,value-3-9,30000067,value-3-11,value-3-12,value-3-13,value-3-14,30000072,value-3-16,value-3-17,value-3-18,value-3-19
40000076,value-4-1,value-4-2,value-4-3,value-4-4,40000081,value-4-6,value-4-7,value-4-8,value-4-9,40000086,value-4-11,value-4-12,value-4-13,value-4-14,40000091,value-4-16,value-4-17,value-4-18,value-4-19
50000095,value-5-1,value-5-2,value-5-3,value-5-4,50000100,value-5-6,value-5-7,value-5-8,value-5-9,50000105,value-5-11,value-5-12,value-5-13,value-5-14,50000110,value-5-16,value-5-17,value-5-18,value-5-19
60000114,value-6-1,value-6-2,value-6-3,value-6-4,60000119,value-6-6,value-6-7,value-6-8,value-6-9,60000124,value-6-11,value-6-12,value-6-13,value-6-14,60000129,value-6-16,value-6-17,value-6-18,value-6-19
70000133,value-7-1,value-7-2,value-7-3,value-7-4,70000138,value-7-6,value-7-7,value-7-8,value-7-9,70000143,value-7-11,value-7-12,value-7-13,value-7-14,70000148,value-7-16,value-7-17,value-7-18,value-7-19
80000152,value-8-1,value-8-2,value-8-3,value-8-4,80000157,value-8-6,value-8-7,value-8-8,value-8-9,80000162,value-8-11,value-8-12,value-8-13,value-8-14,80000167,value-8-16,value-8-17,value-8-18,value-8-19
90000171,value-9-1,value-9-2,value-9-3,value-9-4,90000176,value-9-6,value-9-7,value-9-8,value-9-9,90000181,value-9-11,value-9-12,value-9-13,value-9-14,90000186,value-9-16,value-9-17,value-9-18,value-9-19
100000190,value-10-1,value-10-2,value-10-3,value-10-4,100000195,value-10-6,value-10-7,value-10-8,value-10-9,100000200,value-10-11,value-10-12,value-10-13,value-10-14,100000205,value-10-16,value-10-17,value-10-18,value-10-19
110000209,value-11-1,value-11-2,value-11-3,value-11-4,110000214,value-11-6,value-11-7,value-11-8,value-11-9,110000219,value-11-11,value-11-12,value-11-13,value-11-14,110000224,value-11-16,value-11-17,value-11-18,value-11-19
120000228,value-12-1,value-12-2,value-12-3,value-12-4,120000233,value-12-6,value-12-7,value-12-8,value-12-9,120000238,value-12-11,value-12-12,value-12-13,value-12-14,120000243,value-12-16,value-12-17,value-12-18,value-12-19
130000247,value-13-1,value-13-2,value-13-3,value-13-4,130000252,value-13-6,value-13-7,value-13-8,value-13-9,130000257,value-13-11,value-13-12,value-13-13,value-13-14,130000262,value-13-16,value-13-17,value-13-18,value-13-19
